iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   1  5.654327e+04    2.54e+02    2.11e+04   4.17e+00   1.00e+00  3.00e+04        1    1.75e-01    4.42e-01
   2  5.652064e+04    2.26e+01    1.10e+05   7.92e+00   9.98e-01  9.00e+04        1    1.18e-01    5.60e-01
   3  5.649811e+04    2.25e+01    2.54e+05   1.36e+01   9.69e-01  2.70e+05        1    1.55e-01    7.15e-01
   4  5.648836e+04    9.75e+00    1.78e+05   1.20e+01   9.72e-01  8.10e+05        1    1.19e-01    8.34e-01
   5  5.648689e+04    1.47e+00    2.58e+04   4.51e+00   1.02e+00  2.43e+06        1    1.77e-01    1.01e+00
   6  5.648685e+04    3.56e-02    8.03e+02   7.49e-01   1.04e+00  7.29e+06        1    1.84e-01    1.20e+00
   7  5.648685e+04    2.58e-04    1.29e+01   6.98e-02   1.07e+00  2.19e+07        1    1.37e-01    1.33e+00
   8  5.648685e+04    1.69e-06    1.13e+00   5.28e-03   1.07e+00  6.56e+07        1    1.85e-01    1.52e+00
   9  5.648685e+04    1.00e-08    1.09e-01   3.91e-04   1.06e+00  1.97e+08        1    1.06e-01    1.62e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.658596e+04    0.00e+00    3.27e+04   0.00e+00   0.00e+00  1.00e+04        0    6.22e-02    2.90e-01
   1  5.649761e+04    8.83e+01    9.07e+00   7.66e-01   1.00e+00  3.00e+04        1    1.72e-01    4.62e-01
   2  5.649749e+04    1.23e-01    6.19e+02   4.78e-01   1.01e+00  9.00e+04        1    1.61e-01    6.23e-01
   3  5.649737e+04    1.19e-01    1.37e+03   8.10e-01   1.02e+00  2.70e+05        1    1.12e-01    7.34e-01
   4  5.649732e+04    4.74e-02    9.78e+02   7.14e-01   1.03e+00  8.10e+05        1    1.60e-01    8.94e-01
   5  5.649732e+04    4.96e-03    1.55e+02   2.72e-01   1.04e+00  2.43e+06        1    1.04e-01    9.98e-01
   6  5.649732e+04    1.29e-04    7.85e+00   4.53e-02   1.06e+00  7.29e+06        1    1.52e-01    1.15e+00
   7  5.649732e+04    1.29e-06    9.82e-01   4.23e-03   1.07e+00  2.19e+07        1    1.47e-01    1.30e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  6.237713e+04    0.00e+00    1.13e+05   0.00e+00   0.00e+00  1.00e+04        0    8.68e-02    3.42e-01
   1  6.201984e+04    3.57e+02    1.26e+04   3.44e+00   1.00e+00  3.00e+04        1    1.97e-01    5.38e-01
   2  6.201676e+04    3.08e+00    1.04e+04   1.87e+00   1.01e+00  9.00e+04        1    1.25e-01    6.63e-01
   3  6.201510e+04    1.66e+00    1.71e+04   2.54e+00   1.02e+00  2.70e+05        1    1.22e-01    7.85e-01
   4  6.201455e+04    5.52e-01    1.06e+04   2.30e+00   1.03e+00  8.10e+05        1    1.17e-01    9.02e-01
   5  6.201449e+04    5.68e-02    1.48e+03   8.77e-01   1.04e+00  2.43e+06        1    1.25e-01    1.03e+00
   6  6.201449e+04    1.42e-03    5.30e+01   1.44e-01   1.05e+00  7.29e+06        1    1.12e-01    1.14e+00
   7  6.201449e+04    1.33e-05    1.96e+00   1.32e-02   1.07e+00  2.19e+07        1    1.47e-01    1.29e+00
   8  6.201449e+04    8.63e-08    3.03e-01   9.80e-04   1.08e+00  6.56e+07        1    1.72e-01    1.46e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  6.219163e+04    0.00e+00    1.04e+04   0.00e+00   0.00e+00  1.00e+04        0    8.50e-02    3.16e-01
   1  6.208921e+04    1.02e+02    6.61e+02   1.09e+00   1.00e+00  3.00e+04        1    1.81e-01    4.97e-01
   2  6.208911e+04    1.07e-01    2.69e+02   3.47e-01   1.01e+00  9.00e+04        1    1.23e-01    6.20e-01
   3  6.208907e+04    3.39e-02    3.24e+02   3.14e-01   1.02e+00  2.70e+05        1    1.19e-01    7.40e-01
   4  6.208907e+04    8.45e-03    1.86e+02   2.76e-01   1.03e+00  8.10e+05        1    1.11e-01    8.51e-01
   5  6.208906e+04    8.17e-04    3.05e+01   1.07e-01   1.04e+00  2.43e+06        1    1.15e-01    9.66e-01
   6  6.208906e+04    2.05e-05    2.22e+00   1.77e-02   1.06e+00  7.29e+06        1    1.08e-01    1.07e+00
   7  6.208906e+04    1.97e-07    4.45e-01   1.63e-03   1.07e+00  2.19e+07        1    1.27e-01    1.20e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  7.521336e+04    0.00e+00    1.68e+04   0.00e+00   0.00e+00  1.00e+04        0    8.35e-02    3.57e-01
   1  7.460053e+04    6.13e+02    3.13e+04   3.59e+00   1.00e+00  3.00e+04        1    2.06e-01    5.63e-01
   2  7.459380e+04    6.73e+00    2.92e+04   3.81e+00   1.01e+00  9.00e+04        1    1.32e-01    6.95e-01
   3  7.458713e+04    6.67e+00    6.36e+04   6.00e+00   1.01e+00  2.70e+05        1    1.29e-01    8.25e-01
   4  7.458459e+04    2.54e+00    4.27e+04   4.92e+00   1.02e+00  8.10e+05        1    1.23e-01    9.47e-01
   5  7.458432e+04    2.72e-01    5.81e+03   1.77e+00   1.04e+00  2.43e+06        1    1.87e-01    1.13e+00
